Keyword1,Weight1
Train,683.0255
Home,644.6447
The subway,584.7835
High iron,393.0305
Bye,358.8645
Really?,324.9051
Let's eat,288.3572
Shanghai,283.2618
Let's go,255.2428
Travel,230.8325
I'm sick,220.6981
Rainbow Bridge,201.7265
Come back here,198.8521
Work,183.5216
Clothes,182.4207
Happy,168.3003
Sleep,155.8874
Spring luck,143.3246
School,140.3762
Comments,137.53
Yes,133.7362
More and more,128.6303
I'm off duty,127.7732
Health,119.336
Love,115.1055
Work hard,113.1101
The store,109.5456
Simple,107.3524
Blood,106.9939
Ha ha ha!,105.5549
Travel,104.5184
Renaissance,104.2351
Health,102.6091
Bye,100.3612
Hotpot,97.8468
Overtime,97.7827
Hospital,97.0816
Let's go,96.6123
Coffee,94.0463
Teacher,92.7959
Strong,89.1396
Find someone,89.0131
Men,87.1902
It's not good,86.6444
Happiness,86.515
It's beautiful,85.8117
Otterman,85.6545
Worried,84.92699999999999
♪ Feel ♪,84.0149
Leukemia,81.0587
Go back,80.7522
Insomnia,78.3548
Happy,78.2597
Leave,74.3392
Snotlout,72.841
Train station,70.3045
Paralyzing,69.9035
Job,67.9007
Learning,67.5964
Tickets,66.9607
Take the subway,66.33709999999999
Security,66.2489
Tickets,66.2245
Charm,63.8189
Hit the card,63.2798
Momentum,63.124500000000005
Let's move,62.8232
Pain,62.8071
"If you say you're going, you're going",62.7709
Got it,62.2876
You're nuts,62.033
I can't help it,61.9258
It hurts,61.854
Fatty,61.8257
Company,61.5567
On the way,61.3627
Hangzhou,61.2115
Sit down,60.3397
Yesterday,60.1877
Catch,59.6
It's nice,59.0724
Eat,58.0929
Not good,56.4128
His head is bleeding,55.4812
Winter,55.0836
Finally,54.812
Pickles,54.7318
Secrets,54.1936
University,53.5029
Valentine's Day,53.218900000000005
High heels,53.1162
Train,52.9098
Work,52.5553
It's delicious,52.2877
Perfume,52.2311
Pay the treasure,51.8803
I'll teach you,51.112
It's hard,50.5253
Smile,50.0934
Tonight,50.0718
