Keyword1,Weight1
Hospital,421.8185
Work,274.4894
Teacher,239.0789
View,179.4787
It hurts,143.8098
Stars,123.6311
Here you go,123.238
Doctor,121.0837
Smile,118.3791
Primary,117.0541
Teaching,109.0938
It hurts,107.7043
Boss,104.3624
Date,102.9202
Driver,101.5752
Coach,99.8375
Classics,99.6224
Work,99.2855
Happiness,98.7086
I'm sick,98.4155
"Hey, kid",96.7656
Warm,94.0437
Marriage,92.854
Shopping,92.7463
♪ By the side ♪,91.5215
It won't stop,88.3995
Forget it,87.1554
Loneliness,86.9355
Make way,86.8464
Slowly,86.6918
Sound,86.4321
Animals,84.5856
Put it down,84.2144
A concert,83.9212
Take a picture,83.0385
That's nice,81.8987
"No, I don't",81.6794
Boyfriend,81.18350000000001
"Laugh, laugh, laugh, laugh, laugh, laugh, laugh",80.9143
I can't,77.70100000000001
It's been a couple of times,77.5118
Boyfriend,75.8377
Sometimes,75.7214
More and more,75.499
Company,74.4122
Accommodation,73.3419
Colleagues,72.972
I'm sorry,72.8741
You're nuts,72.7753
Honey,72.6854
The other half,71.3725
Winter,71.0739
Men,70.309
Leisure,68.1076
Girlfriend,67.6093
Meeting,66.7903
A gift,66.1461
Turn around,66.0723
Presentation,65.071
I can't get away from you,62.9989
Cute,62.9683
Stranger,62.8518
In my bones,62.8104
Sound,62.7257
Night shift,61.721
Yes,60.684
Love,60.1839
Cooking,59.9327
Kitchen,59.6195
Toilet,58.9478
Romantic,58.5711
It's embarrassing,58.5275
Honey,57.682500000000005
I miss it,56.8319
Toilet paper,56.7715
Workspace,56.6544
Breaking up,55.5919
Friends,55.3404
Take a walk,55.2395
Coffee,54.7879
Programmes,54.7417
It's a prank,53.8018
Audience,53.7086
Advertising,53.6732
Tomorrow,53.6052
Tell me,53.5775
Female drivers,53.5756
The stage,53.4338
Keep moving,53.231
I don't care,53.1364
Passing through,52.8594
Let go of me!,52.7959
I'm off duty,52.3872
Alone,51.8494
That's not true,51.594
Buy some food,51.5408
A confession,51.4655
A fight,51.2559
Let's eat,51.2177
I'm going to give you a shot,51.0531
