Keyword1,Weight1
Coffee,875.2888
Vegetables,790.6543
Vegetables,343.6258
♪ By the side ♪,321.1055
Happiness,314.345
Warm,273.96
Forget it,264.8286
"No, I don't",243.1998
More and more,236.9045
Let's eat,228.0622
Men,222.8021
It hurts,222.1519
Leisure,221.734
Let go of me!,212.763
I can't,211.8424
I'm sorry,208.7841
Turn around,191.2628
I miss it,189.8554
Hug,185.5925
Breaking up,185.5916
Yes,179.3781
Stranger,176.0173
Milk tea,170.9807
I don't care,163.9642
Animals,159.8182
Let it happen,157.6928
Capricorn,155.4951
Alone,154.907
Friends,153.3364
Tell me,151.9896
Pain,150.7196
Arts,149.7908
Gently,149.5915
Romantic,149.5552
Put it down,148.5452
Presentation,146.5268
Miss,146.3139
I can't get it,142.9494
Someday,141.8616
A dress,139.6643
Meeting,139.07
Bye,137.5457
Tomorrow,135.4042
Barbecue,321.11
I will,131.9235
It's light,128.9838
Never,125.1194
Leadership,124.374
Meals,124.1245
In love,123.9202
Vegetables,123.9002
Buy some food,122.1385
cabbage,120.0048
I miss you,119.4778
Café,118.7224
I can't give up,118.6949
Sausage,115.6058
I mean it,114.9953
Sports,112.1964
Spinach,111.8561
Long,111.5352
It's beautiful,111.2895
For the rest of my life,110.6098
For a moment,110.2066
Mom,110.1588
I can't get through,110.099
Doctor,109.5675
It's engraved,108.8548
The store,108.0971
Coffee,107.4071
I'm sick,107.1511
Let's cook,106.9454
Sad,106.2079
The dish,103.6386
Valentine's Day,103.6041
Good morning,101.3262
Talk to me,99.9417
Travel,99.4106
Forgetting,98.6258
Shooter's seat,98.509
Yes,97.9558
Room,97.8926
I'm sorry,96.8289
That's nice,96.6124
Cooking,96.4618
I can't go back,96.213
Boyfriend,94.4814
It's been a long time,94.1521
Memories,92.9183
