Keyword1,Weight1
Bye,268.8124
Train station,227.6707
High iron,224.3901
Train,169.1402
It hurts,166.9766
Warm,163.4786
Slowly,155.9413
Loneliness,155.7459
♪ By the side ♪,155.0286
Sometimes,154.4222
"No, I don't",153.2531
Happiness,152.1118
Home,148.4819
Forget it,140.7899
I can't,137.0134
Colleagues,136.9236
It hurts,134.8484
I'm sorry,131.2762
Stars,129.2251
Suzhou,128.0055
Men,125.65
Yes,123.0999
Leisure,119.7613
Let go of me!,116.8649
Breaking up,112.1963
Turn around,110.2046
Friends,109.5585
Miss,101.966
Stranger,96.895
Put it down,96.8423
Let it happen,96.5793
Station,96.2061
Let's go,93.1859
Animals,92.8464
Meeting,91.1027
Tell me,89.9968
For the rest of my life,88.5923
I miss it,88.5235
Coffee,87.9409
I don't care,87.4692
Hug,87.0823
Pain,86.615
Driver,86.4462
Gently,85.4062
Leadership,82.7959
Someday,81.6594
Travel,80.3449
I can't go back,75.7536
Romantic,75.7202
Tomorrow,75.7006
I miss you,75.6522
I can't get it,75.1853
Aircraft,74.9503
Alone,74.9272
I will,74.1336
I'm off duty,73.3102
Sad,72.5077
Let's eat,72.3747
Sports,70.7406
I mean it,69.8951
Travel,69.6596
Arts,67.7776
Let's move,67.1674
Classes,66.9345
Never,66.8367
Shanghai,66.5427
Forgetting,66.0191
Room,65.1948
Presentation,64.9181
Yes,64.916
I can't give up,63.9857
Capricorn,63.2719
I'm sick,62.511
That's nice,61.9892
Boyfriend,61.9357
Vegetables,61.3236
It's light,61.2825
It's engraved,60.9307
I can't get through,60.5179
Good morning,59.7086
A dress,59.2053
In love,58.2925
Mom,58.1871
Shooter's seat,57.9565
It's beautiful,57.5782
School,57.0252
It's been a long time,55.2521
For a moment,54.3363
I'm in love with you,53.7659
Girlfriend,53.3067
Fragile,53.2897
Truth,52.787
Train,52.7503
