Keyword1,Weight1
Bookshop,650.605
Suzhou,601.2389
The store,371.6127
Tea,240.3832
Milk tea,200.4596
Coffee,191.6965
Hit the card,160.9281
Take a picture,154.1223
Shopping,152.3894
It's delicious,148.6605
Vegetables,131.5521
Happy birthday,128.4322
Let's eat,125.8654
Colleagues,113.3335
It hurts,108.9581
I'm off duty,102.0913
Bye,101.6859
It's nice,100.2335
Suning,100.0438
It hurts,99.2305
Yes,96.3219
Warm,95.2233
Stars,93.2708
Happy,92.4871
Yes,92.4638
Food,90.411
IKEA!,89.6798
"No, I don't",87.5867
Home,87.5173
Slowly,84.3025
Hotel,84.0813
Afternoon tea,83.5745
Happiness,83.2503
Look at the street,78.2729
Good morning,78.0908
Overtime,75.5951
Let's go,73.0868
I'm sorry,72.4175
Gently,72.4099
♪ By the side ♪,72.2192
Cute,72.0337
The mall,71.9448
Comments,71.8574
Clothes,70.2697
In the store,69.8791
Little sister,69.8197
That's nice,68.834
Read,67.5919
Loneliness,67.0392
I can't,66.609
Classes,66.4868
Animals,66.0778
Eat the hot pot,64.8435
Sometimes,64.7928
Supermarket,64.7695
Fatty,62.3582
First time,61.1608
Learning,60.8365
Rest,60.6686
It's beautiful,60.4367
Arts,59.0091
Travel,58.2735
Room,57.5837
Turn around,56.6949
Fruit,56.2024
Sports,56.1284
Reading,55.573
Leadership,55.1723
Photography,54.5862
Leisure,54.5496
Friends,54.537
Tomorrow,54.4534
The subway,54.3497
Sleep,52.0157
Really?,51.9059
Forget it,51.6671
Miss,51.3244
Hug,51.1801
Restaurant,50.5177
Shoot,50.4232
It's an accident,49.9208
Train,49.6505
Office,49.1956
Square,48.7576
Graduation,47.9583
Let it happen,47.7923
Let go of me!,47.466
Loneliness,47.0842
I'm sick,47.0486
Men,46.7856
I miss you,46.6367
Hospital,46.5082
