Keyword1,Weight1
The store,1620.4822
Let's eat,1129.4551
Hotpot,771.7192
Happy,694.1303
It's delicious,667.2803
Hit the card,646.7717
Really?,629.8635
Coffee,558.7333
Square,542.2657
Yes,516.0203
Home,502.0598
Teacher,497.0534
It's nice,497.0459
Shanghai,496.8427
Work,488.2763
Line up,464.826
Eat,463.4473
Happy,398.4442
Happy birthday,393.7549
Bookshop,384.289
Work hard,382.0366
Vegetables,381.2855
Fatty,374.6687
IKEA!,369.6757
Clothes,360.6106
Milk tea,348.2032
Overtime,341.2026
I'm off duty,332.2848
The mall,313.7669
Shopping,296.8779
Little sister,278.0049
Cute,277.9274
Restaurant,277.2669
It's delicious,274.6311
More and more,273.6102
It's beautiful,260.1047
Learning,258.19350000000003
In the store,250.3014
Work,246.983
Eat the hot pot,244.7035
♪ Feel ♪,224.9022
Bye,222.2365
Happiness,212.8988
Love,210.8026
School,205.7564
Health,204.89
Comments,195.0343
Supermarket,193.0751
Today,188.2549
Barbecue,185.8496
Hotel,181.3658
Men,180.8015
Afternoon tea,180.7231
Simple,177.9938
I'm sick,176.7068
Christmas,176.1497
Company,175.4249
Take a picture,170.7589
Baby,164.7995
Weekend,163.9751
Smile,162.8372
Moose,158.7138
Drink,153.9974
Sleep,153.0091
Acupuncture,150.5845
On-site,148.9074
Buy,137.9614
Summer,136.465
Let's go,136.4134
University,134.9276
Strong,131.9949
Physical fitness,131.5013
It's beautiful,129.9954
Food,129.7176
Not good,128.3968
Boss,127.8992
Winter,126.3325
The subway,124.7323
Cell phone,124.7
Ice cream,124.1516
A kimono,122.2575
Yesterday,121.3612
The cinema,120.9621
Travel,119.8601
Suning,118.8214
Ha ha ha!,118.4005
Let's go,118.2253
Hospital,117.5524
Perfect,116.384
Little brother,113.8184
Blood,113.4955
It's raining,110.1525
Job,109.4075
Warm,109.0327
Outer beach,108.6909
Shopkeeper,107.119
Park,106.5541
Valentine's Day,106.1253
The temple of the city,105.6956
Tea,105.4176
