Keyword1,Weight1
Hotel,2698.7366
Museums,1624.46
The museum,1017.3525
Shanghai Museum,501.6131
Shanghai,429.1639
Teacher,341.2507
Hit the card,251.7499
Exhibition,251.5242
Happy,230.6775
Really?,218.8239
Exhibition,212.5686
Let's eat,199.9441
Learning,198.1732
Two-year show,187.6121
Comments,181.8603
Yes,181.2976
Theatre,174.2106
Home,166.4379
Happy,164.9024
Happy birthday,161.3264
Work hard,157.033
Arts,153.4062
Happiness,148.2854
A big hotel,146.2496
On-site,139.1813
Outer beach,136.1649
Afternoon tea,134.4568
Restaurant,129.8025
It's nice,128.9466
It's beautiful,128.306
Get out of the factory,128.1644
Coffee,119.3205
The wedding,117.4183
Artist,117.2023
Exhibitions,116.9793
Love,116.5101
Work,115.3378
Contemporary art,114.5497
The store,112.3068
Concerts,111.3795
Line up,108.4766
Bye,106.5666
Work,106.5
Musical,100.2599
Men,99.4583
Travel,97.3952
♪ Feel ♪,96.6221
Take a picture,95.2904
The library,94.279
Art exhibition,94.0227
Hotel,93.7155
Tonight,88.6352
More and more,88.0229
Overtime,86.7173
School,86.248
Cafeteria,86.2218
Cute,85.171
Eat,83.9643
Museum of History,81.7595
Travel,81.6378
Today,79.965
Christmas,77.0843
Little sister,76.6833
Vegetables,76.3136
It's delicious,74.6233
Weekend,73.4878
Training,72.5821
Perfect,69.8425
It's beautiful,67.5894
Clothes,66.6565
Show,63.3373
A concert,63.1262
Room,62.897
Tomorrow,62.4031
I'm off duty,62.3834
Boss,61.9671
Publication session,61.9277
Exhibits,61.7994
Hotpot,61.644
Exhibition room,61.5335
Music,60.233
Strong,58.1142
Health,57.3593
Art galleries,57.0282
Sleep,56.7598
The stage,56.4274
Fatty,56.03
Breakfast,55.6506
Finally,54.2698
Smile,53.8973
Fashion Week,53.8142
The bar,53.6602
Romantic,53.5822
Company,53.3969
Yesterday,53.0863
It's raining,52.4992
Simple,51.0963
Looking forward to it,49.8445
Meetings,48.5727
Summer,48.0306
