Keyword1,Weight1
Work hard,1230.4232
Really?,1159.6279
Yes,1044.4705
Happy,942.8817
Sports,897.4299
Let's eat,869.0596
Learning,753.6408
Happy birthday,734.105
Happy,682.6254
It's nice,623.6159
Home,623.4134
Health,605.5317
Fatty,598.3748
Love,518.7428
It's beautiful,499.1919
Happiness,494.4365
Men,490.2316
♪ Feel ♪,472.8731
Let's go,467.2843
Shanghai,451.9654
Baby,414.1569
Overtime,394.1431
Strong,390.001
Hit the card,377.2871
The store,376.6992
Cute,375.675
Bye,373.9987
School,363.8975
It's delicious,353.2733
Clothes,351.8587
Vegetables,351.0864
I can't sleep,346.9026
Warm,317.8332
Headline,317.3008
Sleep,316.0499
Hotpot,310.4654
Cell phone,307.1052
Baby,301.7241
Job,297.4057
It's beautiful,289.949
It's raining,285.581
Park,282.9931
Insomnia,278.9079
I'm sorry,269.1081
I'm sick,264.7354
I'm off duty,262.9141
Hospital,260.9649
Smile,257.6306
Coffee,254.7343
Starlight,250.4967
Gently,245.0923
Young,240.4376
Snow,239.6273
Not good,236.8587
Little sister,236.1079
Simple,235.0711
World Cup,228.9217
Comments,227.4877
Good morning,225.2291
OBLIGATIONS,225.0965
Brave,221.2614
Perfect,220.2917
Confidence,214.944
Doctor,210.1649
Travel,206.0605
Eat,194.5614
Physical fitness,194.1383
Hotel,192.6016
Thin,190.5348
Nothing,186.7487
Qingmiya,186.1254
That's great,182.2861
Tonight,178.8497
Winter,177.2462
The subway,177.0666
University,176.3932
Summer,174.8925
The circle of friends,173.0289
Something new,171.3173
Tomorrow,169.0745
Beautiful,166.8811
The cold,166.2319
Yesterday,165.0804
Boyfriend,164.2473
Education,163.6114
Come back here,162.2453
Health,161.2538
Kid,161.2054
The mood,160.1096
I can't,158.7988
For the rest of my life,155.96
One month,155.0114
Security,153.3956
Membrane,152.0181
Today,151.5411
Pain,151.1885
