Keyword1,Weight1
Hotpot,462.983
The store,416.5164
It's delicious,321.2596
Let's eat,269.9836
Vegetables,206.5824
Eat,194.6641
Restaurant,171.7017
Eat the hot pot,141.6583
Love,135.0857
Coffee,133.4278
Line up,131.967
Really?,129.8505
Men,119.2041
Happiness,107.6526
Happy,105.9286
Yes,105.3052
Barbecue,102.5169
Happy birthday,95.3909
Work hard,91.9769
Happy,91.1573
Strong,89.7061
Teacher,84.8797
Hit the card,83.4847
It's beautiful,79.4356
More and more,64.5089
Barbecue,59.9812
Milk tea,58.4081
Fatty,56.3025
♪ Feel ♪,54.7183
Hotpot shop,54.4857
Shanghai,52.2368
Perfect,51.2407
Health,50.3789
A dress,49.5089
In the store,48.4883
Home,48.4737
Warm,48.1418
Food,46.7922
I ate it,45.327
Vegetables,44.876
It's beautiful,44.3703
School,42.7646
Kawachi,42.5394
A sense of life,39.4606
Menu,38.0932
It's nice,37.8471
I don't care,37.347
Comments,37.1189
Virgo,36.5355
Afternoon tea,35.8292
Pull the grass,35.4366
Work,35.0866
"- Hey, hey, hey, hey - Hey, hey, hey, hey, hey",35.035000000000004
Beef,34.9432
It doesn't matter,34.8615
Worried,34.5753
This one,34.4092
Clothes,34.3466
Coffee shop,33.8158
Young,33.5859
Taste,33.5534
Nothing,33.4388
Celebrella,33.259
Brave,33.1917
Roast duck,32.9707
Hurt,32.8741
Sexy,32.7024
Boss,32.5915
It's delicious,32.3349
Romantic,32.0359
Thai food,31.076
Pants,29.9845
Simple,29.9616
Dinner,29.9422
Drink,29.7384
Today,29.5472
The dish,29.5005
Café,29.436
Meals,28.7673
Hotel,28.7614
I can't,28.3821
I'm sorry,28.2565
Smile,27.3142
I mean it,27.0243
Gently,26.9037
Pain,26.5189
The pot,26.2039
Michelin,26.0261
That's good,25.9326
A lifetime,25.5702
A small shop,25.4476
True love,25.4206
Cafeteria,25.2503
Health,25.2379
Loneliness,25.193
Train,25.0655
Security,24.6365
Eat,24.4846
Come back here,24.4565
Noodle shop,24.22
